0.000000000000000000e+00,-3.600781250000000266e-01
2.000500125031257970e-05,-3.600781250000000266e-01
4.001000250062515941e-05,-5.200781250000000577e-01
6.001500375093773911e-05,-8.000781249999999734e-01
8.002000500125031881e-05,-7.800781250000000666e-01
1.000250062515628985e-04,-1.020078124999999947e+00
1.200300075018754782e-04,-1.020078124999999947e+00
1.400350087521880444e-04,-1.020078124999999947e+00
1.600400100025006376e-04,-1.160078125000000071e+00
1.800450112528132309e-04,-1.160078125000000071e+00
2.000500125031257970e-04,-1.220078125000000124e+00
2.200550137534383632e-04,-1.220078125000000124e+00
2.400600150037509564e-04,-1.300078124999999973e+00
2.600650162540635497e-04,-1.300078124999999973e+00
2.800700175043760887e-04,-1.320078124999999991e+00
3.000750187546886820e-04,-1.320078124999999991e+00
3.200800200050012752e-04,-1.280078124999999956e+00
3.400850212553138685e-04,-1.280078124999999956e+00
3.600900225056264618e-04,-1.220078125000000124e+00
3.800950237559390008e-04,-1.220078125000000124e+00
4.001000250062515941e-04,-1.060078124999999982e+00
4.201050262565641873e-04,-1.060078124999999982e+00
4.401100275068767264e-04,-9.400781249999999867e-01
4.601150287571893196e-04,-6.400781250000000533e-01
4.801200300075019129e-04,-6.600781249999999600e-01
5.001250312578145061e-04,-4.200781250000000244e-01
5.201300325081270994e-04,-4.200781250000000244e-01
5.401350337584396926e-04,-1.600781250000000155e-01
5.601400350087521775e-04,-1.800781250000000056e-01
5.801450362590647707e-04,5.999999999999999778e-02
6.001500375093773640e-04,2.000000000000000042e-02
6.201550387596899572e-04,2.600000000000000089e-01
6.401600400100025505e-04,2.600000000000000089e-01
6.601650412603151438e-04,5.600000000000000533e-01
6.801700425106277370e-04,5.400000000000000355e-01
7.001750437609403303e-04,5.400000000000000355e-01
7.201800450112529235e-04,6.800000000000000488e-01
7.401850462615654084e-04,9.200000000000000400e-01
7.601900475118780016e-04,9.200000000000000400e-01
7.801950487621905949e-04,9.200000000000000400e-01
8.002000500125031881e-04,1.020000000000000018e+00
8.202050512628157814e-04,1.020000000000000018e+00
8.402100525131283746e-04,1.100000000000000089e+00
8.602150537634409679e-04,1.100000000000000089e+00
8.802200550137534527e-04,1.179999999999999938e+00
9.002250562640660460e-04,1.179999999999999938e+00
9.202300575143786392e-04,1.159999999999999920e+00
9.402350587646912325e-04,1.159999999999999920e+00
9.602400600150038257e-04,1.080000000000000071e+00
9.802450612653164190e-04,1.080000000000000071e+00
1.000250062515629012e-03,9.599999999999999645e-01
1.020255063765941606e-03,9.599999999999999645e-01
1.040260065016254199e-03,8.599999999999999867e-01
1.060265066266566792e-03,6.400000000000000133e-01
1.080270067516879385e-03,6.400000000000000133e-01
1.100275068767191979e-03,4.199999999999999845e-01
1.120280070017504355e-03,4.400000000000000022e-01
1.140285071267816948e-03,2.200000000000000011e-01
1.160290072518129541e-03,2.399999999999999911e-01
1.180295073768442135e-03,-4.007812499999999917e-02
1.200300075018754728e-03,-4.007812499999999917e-02
1.220305076269067321e-03,-3.400781250000000089e-01
1.240310077519379914e-03,-3.000781250000000289e-01
1.260315078769692508e-03,-6.200781250000000355e-01
1.280320080020005101e-03,-6.200781250000000355e-01
1.300325081270317694e-03,-6.200781250000000355e-01
1.320330082520630288e-03,-8.000781249999999734e-01
1.340335083770942881e-03,-8.000781249999999734e-01
1.360340085021255474e-03,-9.800781250000000222e-01
1.380345086271568067e-03,-1.220078125000000124e+00
1.400350087521880661e-03,-1.200078125000000107e+00
1.420355088772193254e-03,-1.200078125000000107e+00
1.440360090022505847e-03,-1.300078124999999973e+00
1.460365091272818223e-03,-1.300078124999999973e+00
1.480370092523130817e-03,-1.360078125000000027e+00
1.500375093773443410e-03,-1.360078125000000027e+00
1.520380095023756003e-03,-1.360078125000000027e+00
1.540385096274068596e-03,-1.360078125000000027e+00
1.560390097524381190e-03,-1.340078125000000009e+00
1.580395098774693783e-03,-1.340078125000000009e+00
1.600400100025006376e-03,-1.300078124999999973e+00
1.620405101275318970e-03,-1.300078124999999973e+00
1.640410102525631563e-03,-1.140078125000000053e+00
1.660415103775944156e-03,-1.140078125000000053e+00
1.680420105026256749e-03,-9.800781250000000222e-01
1.700425106276569343e-03,-9.800781250000000222e-01
1.720430107526881936e-03,-8.000781249999999734e-01
1.740435108777194529e-03,-5.200781250000000577e-01
1.760440110027506905e-03,-5.400781249999999645e-01
1.780445111277819499e-03,-3.200781249999999911e-01
1.800450112528132092e-03,-3.400781250000000089e-01
1.820455113778444685e-03,0.000000000000000000e+00
1.840460115028757278e-03,-7.812500000000000163e-05
1.860465116279069872e-03,2.999999999999999889e-01
1.880470117529382465e-03,2.999999999999999889e-01
1.900475118779695058e-03,5.400000000000000355e-01
1.920480120030007651e-03,5.200000000000000178e-01
1.940485121280320245e-03,5.200000000000000178e-01
1.960490122530632838e-03,7.000000000000000666e-01
1.980495123780945214e-03,9.400000000000000577e-01
2.000500125031258025e-03,9.400000000000000577e-01
2.020505126281570401e-03,9.400000000000000577e-01
2.040510127531883211e-03,1.060000000000000053e+00
2.060515128782195587e-03,1.060000000000000053e+00
2.080520130032508398e-03,1.179999999999999938e+00
2.100525131282820774e-03,1.179999999999999938e+00
2.120530132533133584e-03,1.260000000000000009e+00
2.140535133783445960e-03,1.260000000000000009e+00
2.160540135033758771e-03,1.260000000000000009e+00
2.180545136284071147e-03,1.260000000000000009e+00
2.200550137534383957e-03,1.199999999999999956e+00
2.220555138784696333e-03,1.199999999999999956e+00
2.240560140035008710e-03,1.120000000000000107e+00
2.260565141285321520e-03,1.120000000000000107e+00
2.280570142535633896e-03,9.400000000000000577e-01
2.300575143785946707e-03,7.199999999999999734e-01
2.320580145036259083e-03,7.600000000000000089e-01
2.340585146286571893e-03,5.000000000000000000e-01
2.360590147536884269e-03,5.000000000000000000e-01
2.380595148787197080e-03,2.600000000000000089e-01
2.400600150037509456e-03,2.800000000000000266e-01
